Entity,Code,Day,unwillingness_covid_vaccinate_this_week_pct_pop,uncertain_covid_vaccinate_this_week_pct_pop,willingness_covid_vaccinate_this_week_pct_pop,people_vaccinated_per_hundred
France,FRA,2021-01-15,46.53,17.45,35.39,0.63
France,FRA,2021-02-15,42.44,14.67,39.23,3.66
France,FRA,2021-03-15,39.68,15.29,36.76,8.27
France,FRA,2021-04-15,35.64,14.47,31.52,18.37
France,FRA,2021-05-15,33.28,12.77,23.29,30.66
France,FRA,2021-06-15,34.7,9.77,8.88,46.65
France,FRA,2021-07-15,29.19,7.51,7.73,55.57
France,FRA,2021-08-15,22.66,4.29,3.54,69.51
France,FRA,2021-09-15,19.59,3.8,2.05,74.56
France,FRA,2021-10-15,19.39,1.91,2.46,76.24
France,FRA,2021-11-15,18.76,2.03,1.98,77.23
France,FRA,2021-12-15,17.83,2.09,1.87,78.21
France,FRA,2022-01-15,15.83,2.74,2.02,79.41
France,FRA,2022-02-15,17.1,1.23,1.69,79.98
Germany,DEU,2021-01-15,30.72,16.63,51.32,1.33
Germany,DEU,2021-02-15,25.85,13.35,57.4,3.4
Germany,DEU,2021-03-15,24.98,13.28,53.51,8.23
Germany,DEU,2021-04-15,21.39,12.85,47.23,18.53
Germany,DEU,2021-05-15,19.31,10.86,33.04,36.79
Germany,DEU,2021-06-15,22.89,8.87,19.06,49.18
Germany,DEU,2021-07-15,24.05,8.07,8.3,59.58
Germany,DEU,2021-08-15,23.93,6.69,6.26,63.12
Germany,DEU,2021-09-15,23.94,5.38,4.2,66.48
Germany,DEU,2021-10-15,23.54,4.93,3.15,68.38
Germany,DEU,2021-11-15,22.71,5.33,2.29,69.67
Germany,DEU,2021-12-15,20.03,4.18,3.29,72.5
Germany,DEU,2022-01-15,19.54,3.67,2.29,74.5
Germany,DEU,2022-02-15,19.26,3.29,1.94,75.51
Italy,ITA,2021-01-15,26.23,17.66,54.24,1.87
Italy,ITA,2021-02-15,22.4,15.67,58.91,3.02
Italy,ITA,2021-03-15,24.82,13.24,53.69,8.25
Italy,ITA,2021-04-15,23.38,12.04,47.47,17.11
Italy,ITA,2021-05-15,19.3,10.49,38.59,31.62
Italy,ITA,2021-06-15,18.04,9.4,22.41,50.15
Italy,ITA,2021-07-15,19.98,9.28,10.41,60.33
Italy,ITA,2021-08-15,18.75,6.44,7.18,67.63
Italy,ITA,2021-09-15,17.53,5.19,4.26,73.02
Italy,ITA,2021-10-15,17.78,3.22,2.49,76.51
Italy,ITA,2021-11-15,15.97,3.94,2.36,77.73
Italy,ITA,2021-12-15,16.62,1.92,2.34,79.12
Italy,ITA,2022-01-15,13.32,1.99,2.83,81.86
Italy,ITA,2022-02-15,12.12,1.59,2.58,83.71
Japan,JPN,2021-03-15,21.43,25.07,53.28,0.22
Japan,JPN,2021-04-15,19.5,24.04,55.51,0.95
Japan,JPN,2021-05-15,15.81,21.82,58.13,4.24
Japan,JPN,2021-06-15,13.97,18.54,49.23,18.26
Japan,JPN,2021-07-15,13.54,15.13,36.56,34.77
Japan,JPN,2021-08-15,12.05,9.97,28.25,49.73
Japan,JPN,2021-09-15,11.77,8.22,14.84,65.17
Japan,JPN,2021-10-15,14.16,5.88,4.91,75.05
Japan,JPN,2021-11-15,12.19,5.62,3.41,78.78
Japan,JPN,2021-12-15,12.46,5.82,2.3,79.42
Japan,JPN,2022-01-15,12.9,4.21,2.63,80.26
Japan,JPN,2022-02-15,12.77,5.14,1.53,80.56
Netherlands,NLD,2021-01-15,20.14,18.05,61.61,0.2
Netherlands,NLD,2021-02-15,20.52,16.81,58.65,4.02
Netherlands,NLD,2021-09-15,19.38,3.59,3.23,73.8
Netherlands,NLD,2021-10-15,20.53,2.03,2.21,75.23
Netherlands,NLD,2021-11-15,19.29,1.84,2.18,76.69
Netherlands,NLD,2021-12-15,17.96,2.67,1.96,77.41
Netherlands,NLD,2022-01-15,17.95,1.72,2.59,77.74
Netherlands,NLD,2022-02-15,17.76,2.22,1.74,78.28
Norway,NOR,2020-12-15,32.5,21.8,45.7,0
Norway,NOR,2021-01-15,26.25,17.91,54.89,0.95
Norway,NOR,2021-02-15,24.8,13.93,56.83,4.44
Norway,NOR,2021-03-15,26.02,13.01,52.53,8.44
Norway,NOR,2021-04-15,22.47,11.05,47.15,19.33
Norway,NOR,2021-05-15,20.09,12.27,38.23,29.41
Norway,NOR,2021-06-15,21.65,9.78,31.25,37.32
Norway,NOR,2021-07-15,20.15,7.37,13.43,59.05
Norway,NOR,2021-08-15,19.44,4.82,6.41,69.33
Singapore,SGP,2021-01-15,28.62,34.78,36.22,0.38
Singapore,SGP,2021-02-15,20.87,29.53,45.55,4.05
Singapore,SGP,2021-03-15,19.74,25.1,45.33,9.83
Singapore,SGP,2021-04-15,18.45,20.5,37.47,23.58
Singapore,SGP,2021-05-15,15.75,17.55,31.94,34.76
Singapore,SGP,2021-06-15,11.47,12.33,26.79,49.41
Singapore,SGP,2021-07-15,9.08,9.02,6.81,75.09
Singapore,SGP,2021-08-15,8.09,7.17,3.18,81.56
South Korea,KOR,2021-03-15,22.93,27.5,48.34,1.23
South Korea,KOR,2021-04-15,22.94,26.75,47.51,2.8
South Korea,KOR,2021-05-15,22.88,28.55,41.12,7.45
South Korea,KOR,2021-06-15,15.42,20.1,38.41,26.07
South Korea,KOR,2021-07-15,13.83,18.57,36.18,31.42
South Korea,KOR,2021-08-15,12.42,16.84,26.72,44.02
South Korea,KOR,2021-09-15,13.05,8.17,10.24,68.54
Spain,ESP,2021-01-15,25.55,20.93,51.88,1.64
Spain,ESP,2021-02-15,24.45,19.02,53.26,3.27
Spain,ESP,2021-03-15,24.3,18.01,49.24,8.45
Spain,ESP,2021-04-15,20.44,17.32,43.77,18.47
Spain,ESP,2021-05-15,19.04,13.87,35.19,31.9
Spain,ESP,2021-06-15,15.73,12,25.1,47.17
Spain,ESP,2021-07-15,14.18,8,15.71,62.11
Spain,ESP,2021-08-15,13.68,6.15,5.9,74.27
Spain,ESP,2021-09-15,12.69,3.65,3.78,79.88
Spain,ESP,2021-10-15,13.79,3.25,1.95,81.01
Spain,ESP,2021-11-15,12.84,2.98,2.52,81.66
Spain,ESP,2021-12-15,12.23,2.49,2.73,82.55
Spain,ESP,2022-01-15,10.22,1.58,1.95,86.25
Spain,ESP,2022-02-15,9.22,1.33,1.7,87.75
Sweden,SWE,2021-02-15,24.63,12.21,59.62,3.54
Sweden,SWE,2021-03-15,23.72,11.18,56.7,8.4
Sweden,SWE,2021-04-15,24.15,12.43,48.24,15.18
Sweden,SWE,2021-05-15,22.36,10.19,37.29,30.16
Sweden,SWE,2021-06-15,21.93,8.35,27.66,42.06
Sweden,SWE,2021-07-15,23.49,8.23,12.54,55.74
Sweden,SWE,2021-08-15,22.49,5.84,6.35,65.32
Sweden,SWE,2021-09-15,21.46,5.75,4.13,68.66
United Kingdom,GBR,2021-01-15,12.81,7.95,74,5.24
United Kingdom,GBR,2021-02-15,11.49,6.78,58.89,22.84
United Kingdom,GBR,2021-03-15,14.1,6.57,42.91,36.42
United Kingdom,GBR,2021-04-15,12.89,4.22,35.13,47.76
United Kingdom,GBR,2021-05-15,13.09,4.54,28.75,53.62
United Kingdom,GBR,2021-06-15,21.37,5.27,11.75,61.61
United Kingdom,GBR,2021-07-15,21.5,6.02,4.81,67.67
United Kingdom,GBR,2021-08-15,21.54,5.63,3.43,69.4
United Kingdom,GBR,2021-09-15,21.9,4.25,2.74,71.11
United Kingdom,GBR,2021-10-15,20.88,4.2,2.53,72.39
United Kingdom,GBR,2021-11-15,19.56,2.83,3.4,74.21
United Kingdom,GBR,2021-12-15,19.08,3.05,2.57,75.3
United Kingdom,GBR,2022-01-15,19.15,2.88,1.58,76.39
United Kingdom,GBR,2022-02-15,17.1,2.85,3.03,77.02
United States,USA,2021-02-15,32.71,13.1,40.91,13.28
United States,USA,2021-03-15,29.72,13.76,32.54,23.98
United States,USA,2021-04-15,29.38,9.3,20.41,40.91
United States,USA,2021-05-15,28.35,10.87,11.73,49.05
United States,USA,2021-06-15,31.26,7.3,7.67,53.77
United States,USA,2021-07-15,28.17,8.35,7.32,56.16
United States,USA,2021-08-15,23.75,8.99,7.21,60.05
United States,USA,2021-09-15,23.68,6.21,6.62,63.49
United States,USA,2021-10-15,25.42,5.17,3.77,65.64
