Country/territory,WHO Preferred Vaccine Name,mmm Year,Bilateral/multilateral agreements,Donations,COVAX,AVAT,Unknown,Total Doses Delivered
Cambodia,Sinovac - CoronaVac,Dec 2021,(Blank),(Blank),"300,000",(Blank),(Blank),"300,000"
Cambodia,Sinovac - CoronaVac,Mar 2022,(Blank),"5,000,000",(Blank),(Blank),(Blank),"5,000,000"
China,Sinopharm (Beijing) - BBIBP-CorV,Apr 2022,(Blank),"5,000,000",(Blank),(Blank),(Blank),"5,000,000"
China,Unknown,Dec 2020,(Blank),(Blank),(Blank),(Blank),"4,950,000","4,950,000"
China,Unknown,Jan 2021,(Blank),(Blank),(Blank),(Blank),"21,450,000","21,450,000"
China,Unknown,Feb 2021,(Blank),(Blank),(Blank),(Blank),"31,372,000","31,372,000"
China,Unknown,Mar 2021,(Blank),(Blank),(Blank),(Blank),"74,031,100","74,031,100"
China,Unknown,Apr 2021,(Blank),(Blank),(Blank),(Blank),"159,767,300","159,767,300"
China,Unknown,May 2021,(Blank),(Blank),(Blank),(Blank),"436,044,400","436,044,400"
China,Unknown,Jun 2021,(Blank),(Blank),(Blank),(Blank),"641,527,700","641,527,700"
China,Unknown,Jul 2021,(Blank),(Blank),(Blank),(Blank),"448,958,400","448,958,400"
China,Unknown,Aug 2021,(Blank),(Blank),(Blank),(Blank),"456,247,000","456,247,000"
China,Unknown,Sep 2021,(Blank),(Blank),(Blank),(Blank),"158,249,300","158,249,300"
China,Unknown,Oct 2021,(Blank),(Blank),(Blank),(Blank),"68,882,000","68,882,000"
China,Unknown,Nov 2021,(Blank),(Blank),(Blank),(Blank),"257,293,300","257,293,300"
China,Unknown,Dec 2021,(Blank),(Blank),(Blank),(Blank),"360,092,700","360,092,700"
China,Unknown,Jan 2022,(Blank),(Blank),(Blank),(Blank),"181,720,000","181,720,000"
China,Unknown,Feb 2022,(Blank),(Blank),(Blank),(Blank),"142,244,300","142,244,300"
China,Unknown,Mar 2022,(Blank),(Blank),(Blank),(Blank),"155,131,900","155,131,900"
China,Unknown,Apr 2022,(Blank),(Blank),(Blank),(Blank),"76,019,400","76,019,400"
China,Unknown,May 2022,(Blank),(Blank),(Blank),(Blank),"40,464,600","40,464,600"
China,Unknown,Jun 2022,(Blank),(Blank),(Blank),(Blank),"23,438,800","23,438,800"
China,Unknown,Jul 2022,(Blank),(Blank),(Blank),(Blank),"23,151,700","23,151,700"
China,Unknown,Aug 2022,(Blank),(Blank),(Blank),(Blank),"10,019,900","10,019,900"
China,Unknown,Sep 2022,(Blank),(Blank),(Blank),(Blank),"4,546,300","4,546,300"
Fiji,AstraZeneca - Vaxzevria,Mar 2021,(Blank),(Blank),"12,000",(Blank),(Blank),"12,000"
Fiji,AstraZeneca - Vaxzevria,Apr 2021,(Blank),(Blank),"24,000",(Blank),(Blank),"24,000"
Fiji,AstraZeneca - Vaxzevria,May 2021,(Blank),"90,000","21,600",(Blank),(Blank),"111,600"
Fiji,AstraZeneca - Vaxzevria,Jun 2021,(Blank),"200,000","2,400",(Blank),(Blank),"202,400"
Fiji,AstraZeneca - Vaxzevria,Jul 2021,(Blank),"252,000","43,200",(Blank),(Blank),"295,200"
Fiji,AstraZeneca - Vaxzevria,Aug 2021,(Blank),"500,000","56,000",(Blank),(Blank),"556,000"
Fiji,AstraZeneca - Vaxzevria,Nov 2021,(Blank),"107,500",(Blank),(Blank),(Blank),"107,500"
Fiji,Moderna - Spikevax,Jul 2021,(Blank),(Blank),"150,080",(Blank),(Blank),"150,080"
Fiji,Moderna - Spikevax,Nov 2021,(Blank),(Blank),"50,400",(Blank),(Blank),"50,400"
Fiji,Moderna - Spikevax,Dec 2021,(Blank),(Blank),"141,600",(Blank),(Blank),"141,600"
Fiji,Moderna - Spikevax,Jun 2022,(Blank),(Blank),"9,600",(Blank),(Blank),"9,600"
Fiji,Moderna - Spikevax,Aug 2022,(Blank),(Blank),"25,000",(Blank),(Blank),"25,000"
Fiji,SII - Covishield,Mar 2021,(Blank),"100,000",(Blank),(Blank),(Blank),"100,000"
Indonesia,AstraZeneca - Vaxzevria,Mar 2021,(Blank),(Blank),"1,113,600",(Blank),(Blank),"1,113,600"
Indonesia,AstraZeneca - Vaxzevria,Apr 2021,(Blank),(Blank),"3,852,000",(Blank),(Blank),"3,852,000"
Indonesia,AstraZeneca - Vaxzevria,May 2021,(Blank),(Blank),"1,444,900",(Blank),(Blank),"1,444,900"
Indonesia,AstraZeneca - Vaxzevria,Jun 2021,(Blank),(Blank),"1,817,900",(Blank),(Blank),"1,817,900"
Indonesia,AstraZeneca - Vaxzevria,Jul 2021,"2,127,400","2,160,000","3,476,400",(Blank),(Blank),"7,763,800"
Indonesia,AstraZeneca - Vaxzevria,Aug 2021,"567,000","620,000",(Blank),(Blank),(Blank),"1,187,000"
Indonesia,AstraZeneca - Vaxzevria,Sep 2021,(Blank),"1,279,400","3,360,340",(Blank),(Blank),"4,639,740"
Indonesia,AstraZeneca - Vaxzevria,Oct 2021,"1,336,200","2,024,000","1,373,200",(Blank),(Blank),"4,733,400"
Indonesia,AstraZeneca - Vaxzevria,Nov 2021,"9,137,130","1,200,000","1,065,400",(Blank),(Blank),"11,402,530"
Indonesia,AstraZeneca - Vaxzevria,Dec 2021,"656,000","1,095,000","6,475,800",(Blank),(Blank),"8,226,800"
Indonesia,AstraZeneca - Vaxzevria,Jan 2022,(Blank),"2,722,930","13,046,400",(Blank),(Blank),"15,769,330"
Indonesia,AstraZeneca - Vaxzevria,Feb 2022,(Blank),"2,700,000",(Blank),(Blank),(Blank),"2,700,000"
Indonesia,Janssen - Ad26.COV 2.S,Sep 2021,(Blank),"500,000",(Blank),(Blank),(Blank),"500,000"
Indonesia,Janssen - Ad26.COV 2.S,Dec 2021,(Blank),"324,000",(Blank),(Blank),(Blank),"324,000"
Indonesia,Moderna - Spikevax,Jul 2021,(Blank),(Blank),"4,500,160",(Blank),(Blank),"4,500,160"
Indonesia,Moderna - Spikevax,Aug 2021,(Blank),(Blank),"3,500,000",(Blank),(Blank),"3,500,000"
Indonesia,Moderna - Spikevax,Oct 2021,(Blank),"819,600",(Blank),(Blank),(Blank),"819,600"
Indonesia,Moderna - Spikevax,Nov 2021,(Blank),"680,400",(Blank),(Blank),(Blank),"680,400"
Indonesia,Moderna - Spikevax,Dec 2021,(Blank),(Blank),"11,479,300",(Blank),(Blank),"11,479,300"
Indonesia,Moderna - Spikevax,Mar 2022,(Blank),(Blank),"3,301,200",(Blank),(Blank),"3,301,200"
Indonesia,Pfizer BioNTech - Comirnaty,Aug 2021,"1,600,000",(Blank),(Blank),(Blank),(Blank),"1,600,000"
Indonesia,Pfizer BioNTech - Comirnaty,Sep 2021,"1,195,740",(Blank),"4,644,900",(Blank),(Blank),"5,840,640"
Indonesia,Pfizer BioNTech - Comirnaty,Oct 2021,"3,941,730",(Blank),"800,280",(Blank),(Blank),"4,742,010"
Indonesia,Pfizer BioNTech - Comirnaty,Nov 2021,(Blank),(Blank),"3,499,470",(Blank),(Blank),"3,499,470"
Indonesia,Pfizer BioNTech - Comirnaty,Dec 2021,(Blank),(Blank),"15,137,460",(Blank),(Blank),"15,137,460"
Indonesia,Pfizer BioNTech - Comirnaty,Jan 2022,(Blank),(Blank),"999,180",(Blank),(Blank),"999,180"
Indonesia,Pfizer BioNTech - Comirnaty,Mar 2022,(Blank),(Blank),"3,499,470",(Blank),(Blank),"3,499,470"
Indonesia,Pfizer BioNTech - Comirnaty,Apr 2022,(Blank),(Blank),"3,499,470",(Blank),(Blank),"3,499,470"
Indonesia,SII - Covavax,Nov 2021,"137,500",(Blank),(Blank),(Blank),(Blank),"137,500"
Indonesia,SII - Covavax,Dec 2021,"8,870,500",(Blank),(Blank),(Blank),(Blank),"8,870,500"
Indonesia,SII - Covavax,May 2022,"4,000",(Blank),(Blank),(Blank),(Blank),"4,000"
Indonesia,Sinopharm (Beijing) - BBIBP-CorV,Apr 2021,"482,400",(Blank),(Blank),(Blank),(Blank),"482,400"
Indonesia,Sinopharm (Beijing) - BBIBP-CorV,May 2021,(Blank),"500,000",(Blank),(Blank),(Blank),"500,000"
Indonesia,Sinopharm (Beijing) - BBIBP-CorV,Jun 2021,"1,000,000",(Blank),(Blank),(Blank),(Blank),"1,000,000"
Indonesia,Sinopharm (Beijing) - BBIBP-CorV,Jul 2021,"4,000,000",(Blank),(Blank),(Blank),(Blank),"4,000,000"
Indonesia,Sinopharm (Beijing) - BBIBP-CorV,Sep 2021,(Blank),"200,000",(Blank),(Blank),(Blank),"200,000"
Indonesia,Sinovac - CoronaVac,Dec 2020,"3,000,000",(Blank),(Blank),(Blank),(Blank),"3,000,000"
Indonesia,Sinovac - CoronaVac,Jan 2021,"15,000,000",(Blank),(Blank),(Blank),(Blank),"15,000,000"
Indonesia,Sinovac - CoronaVac,Feb 2021,"10,000,000",(Blank),(Blank),(Blank),(Blank),"10,000,000"
Indonesia,Sinovac - CoronaVac,Mar 2021,"26,000,000",(Blank),(Blank),(Blank),(Blank),"26,000,000"
Indonesia,Sinovac - CoronaVac,Apr 2021,"12,000,000",(Blank),(Blank),(Blank),(Blank),"12,000,000"
Indonesia,Sinovac - CoronaVac,May 2021,"16,000,000",(Blank),(Blank),(Blank),(Blank),"16,000,000"
Indonesia,Sinovac - CoronaVac,Jun 2021,"24,000,000",(Blank),(Blank),(Blank),(Blank),"24,000,000"
Indonesia,Sinovac - CoronaVac,Jul 2021,"18,280,000",(Blank),(Blank),(Blank),(Blank),"18,280,000"
Indonesia,Sinovac - CoronaVac,Aug 2021,"24,200,000",(Blank),(Blank),(Blank),(Blank),"24,200,000"
Indonesia,Sinovac - CoronaVac,Sep 2021,"12,008,040","2,000,000","10,776,000",(Blank),(Blank),"24,784,040"
Indonesia,Sinovac - CoronaVac,Oct 2021,"16,000,000",(Blank),(Blank),(Blank),(Blank),"16,000,000"
Indonesia,Sinovac - CoronaVac,Nov 2021,"20,000,000",(Blank),(Blank),(Blank),(Blank),"20,000,000"
Indonesia,Sinovac - CoronaVac,Dec 2021,(Blank),"2,000,000","1,236,000",(Blank),(Blank),"3,236,000"
Indonesia,Unknown,Feb 2022,(Blank),(Blank),(Blank),(Blank),"34,303,309","34,303,309"
Indonesia,Unknown,Mar 2022,(Blank),(Blank),(Blank),(Blank),"30,294,188","30,294,188"
Indonesia,Unknown,Apr 2022,(Blank),(Blank),(Blank),(Blank),"20,577,520","20,577,520"
Indonesia,Unknown,Jun 2022,(Blank),(Blank),(Blank),(Blank),"19,432,647","19,432,647"
Indonesia,Unknown,Jul 2022,(Blank),(Blank),(Blank),(Blank),"8,926,897","8,926,897"
Indonesia,Unknown,Aug 2022,(Blank),(Blank),(Blank),(Blank),"9,449,091","9,449,091"
Indonesia,Unknown,Sep 2022,(Blank),(Blank),(Blank),(Blank),"2,402,983","2,402,983"
Japan,AstraZeneca - Vaxzevria,Apr 2021,0,(Blank),(Blank),(Blank),(Blank),0
Japan,AstraZeneca - Vaxzevria,May 2021,0,(Blank),(Blank),(Blank),(Blank),0
Japan,AstraZeneca - Vaxzevria,Jun 2021,"89,001",(Blank),(Blank),(Blank),(Blank),"89,001"
Japan,AstraZeneca - Vaxzevria,Jul 2021,"2,760,755",(Blank),(Blank),(Blank),(Blank),"2,760,755"
Japan,AstraZeneca - Vaxzevria,Aug 2021,"6,843,819",(Blank),(Blank),(Blank),(Blank),"6,843,819"
Japan,AstraZeneca - Vaxzevria,Sep 2021,"3,733,458",(Blank),(Blank),(Blank),(Blank),"3,733,458"
Japan,AstraZeneca - Vaxzevria,Oct 2021,"3,653,771",(Blank),(Blank),(Blank),(Blank),"3,653,771"
Japan,AstraZeneca - Vaxzevria,Nov 2021,"578,082",(Blank),(Blank),(Blank),(Blank),"578,082"
Japan,AstraZeneca - Vaxzevria,Dec 2021,"36,711",(Blank),(Blank),(Blank),(Blank),"36,711"
Japan,AstraZeneca - Vaxzevria,Jan 2022,"14,158",(Blank),(Blank),(Blank),(Blank),"14,158"
Japan,AstraZeneca - Vaxzevria,Feb 2022,"17,049",(Blank),(Blank),(Blank),(Blank),"17,049"
Japan,AstraZeneca - Vaxzevria,Mar 2022,"35,673",(Blank),(Blank),(Blank),(Blank),"35,673"
Japan,AstraZeneca - Vaxzevria,Apr 2022,"25,163",(Blank),(Blank),(Blank),(Blank),"25,163"
Japan,AstraZeneca - Vaxzevria,May 2022,"13,837",(Blank),(Blank),(Blank),(Blank),"13,837"
Japan,AstraZeneca - Vaxzevria,Jun 2022,"6,666",(Blank),(Blank),(Blank),(Blank),"6,666"
Japan,AstraZeneca - Vaxzevria,Jul 2022,"4,479",(Blank),(Blank),(Blank),(Blank),"4,479"
Japan,AstraZeneca - Vaxzevria,Aug 2022,"5,088",(Blank),(Blank),(Blank),(Blank),"5,088"
Japan,AstraZeneca - Vaxzevria,Sep 2022,"6,596",(Blank),(Blank),(Blank),(Blank),"6,596"
Japan,AstraZeneca - Vaxzevria,Oct 2022,"1,445",(Blank),(Blank),(Blank),(Blank),"1,445"
Japan,Moderna - Spikevax,Apr 2021,0,(Blank),(Blank),(Blank),(Blank),0
Japan,Moderna - Spikevax,May 2021,"1,250,136",(Blank),(Blank),(Blank),(Blank),"1,250,136"
Japan,Moderna - Spikevax,Jun 2021,"15,847,835",(Blank),(Blank),(Blank),(Blank),"15,847,835"
Japan,Moderna - Spikevax,Jul 2021,"28,941,263",(Blank),(Blank),(Blank),(Blank),"28,941,263"
Japan,Moderna - Spikevax,Aug 2021,"18,868,291",(Blank),(Blank),(Blank),(Blank),"18,868,291"
Japan,Moderna - Spikevax,Sep 2021,"18,834,564",(Blank),(Blank),(Blank),(Blank),"18,834,564"
Japan,Moderna - Spikevax,Oct 2021,"14,020,500",(Blank),(Blank),(Blank),(Blank),"14,020,500"
Japan,Moderna - Spikevax,Nov 2021,"4,918,767",(Blank),(Blank),(Blank),(Blank),"4,918,767"
Japan,Moderna - Spikevax,Dec 2021,"926,479",(Blank),(Blank),(Blank),(Blank),"926,479"
Japan,Moderna - Spikevax,Jan 2022,"864,538",(Blank),(Blank),(Blank),(Blank),"864,538"
Japan,Moderna - Spikevax,Feb 2022,"11,351,446",(Blank),(Blank),(Blank),(Blank),"11,351,446"
Japan,Moderna - Spikevax,Mar 2022,"15,079,318",(Blank),(Blank),(Blank),(Blank),"15,079,318"
Japan,Moderna - Spikevax,Apr 2022,"7,476,064",(Blank),(Blank),(Blank),(Blank),"7,476,064"
Japan,Moderna - Spikevax,May 2022,"2,573,604",(Blank),(Blank),(Blank),(Blank),"2,573,604"
Japan,Moderna - Spikevax,Jun 2022,"973,853",(Blank),(Blank),(Blank),(Blank),"973,853"
Japan,Moderna - Spikevax,Jul 2022,"717,690",(Blank),(Blank),(Blank),(Blank),"717,690"
Japan,Moderna - Spikevax,Aug 2022,"648,530",(Blank),(Blank),(Blank),(Blank),"648,530"
Japan,Moderna - Spikevax,Sep 2022,"367,082",(Blank),(Blank),(Blank),(Blank),"367,082"
Japan,Moderna - Spikevax,Oct 2022,"61,197",(Blank),(Blank),(Blank),(Blank),"61,197"
Japan,Pfizer BioNTech - Comirnaty,Apr 2021,"2,942,173",(Blank),(Blank),(Blank),(Blank),"2,942,173"
Japan,Pfizer BioNTech - Comirnaty,May 2021,"12,559,822",(Blank),(Blank),(Blank),(Blank),"12,559,822"
Japan,Pfizer BioNTech - Comirnaty,Jun 2021,"24,182,143",(Blank),(Blank),(Blank),(Blank),"24,182,143"
Japan,Pfizer BioNTech - Comirnaty,Jul 2021,"19,222,801",(Blank),(Blank),(Blank),(Blank),"19,222,801"
Japan,Pfizer BioNTech - Comirnaty,Aug 2021,"14,977,932",(Blank),(Blank),(Blank),(Blank),"14,977,932"
Japan,Pfizer BioNTech - Comirnaty,Sep 2021,"14,014,579",(Blank),(Blank),(Blank),(Blank),"14,014,579"
Japan,Pfizer BioNTech - Comirnaty,Oct 2021,"8,248,687",(Blank),(Blank),(Blank),(Blank),"8,248,687"
Japan,Pfizer BioNTech - Comirnaty,Nov 2021,"1,282,588",(Blank),(Blank),(Blank),(Blank),"1,282,588"
Japan,Pfizer BioNTech - Comirnaty,Dec 2021,"1,576,130",(Blank),(Blank),(Blank),(Blank),"1,576,130"
Japan,Pfizer BioNTech - Comirnaty,Jan 2022,"5,723,456",(Blank),(Blank),(Blank),(Blank),"5,723,456"
Japan,Pfizer BioNTech - Comirnaty,Feb 2022,"14,985,696",(Blank),(Blank),(Blank),(Blank),"14,985,696"
Japan,Pfizer BioNTech - Comirnaty,Mar 2022,"14,205,429",(Blank),(Blank),(Blank),(Blank),"14,205,429"
Japan,Pfizer BioNTech - Comirnaty,Apr 2022,"9,299,821",(Blank),(Blank),(Blank),(Blank),"9,299,821"
Japan,Pfizer BioNTech - Comirnaty,May 2022,"5,523,299",(Blank),(Blank),(Blank),(Blank),"5,523,299"
Japan,Pfizer BioNTech - Comirnaty,Jun 2022,"2,505,264",(Blank),(Blank),(Blank),(Blank),"2,505,264"
Japan,Pfizer BioNTech - Comirnaty,Jul 2022,"1,639,507",(Blank),(Blank),(Blank),(Blank),"1,639,507"
Japan,Pfizer BioNTech - Comirnaty,Aug 2022,"1,407,878",(Blank),(Blank),(Blank),(Blank),"1,407,878"
Japan,Pfizer BioNTech - Comirnaty,Sep 2022,"677,937",(Blank),(Blank),(Blank),(Blank),"677,937"
Japan,Pfizer BioNTech - Comirnaty,Oct 2022,"340,149",(Blank),(Blank),(Blank),(Blank),"340,149"
Kiribati,AstraZeneca - Vaxzevria,May 2021,(Blank),(Blank),"24,000",(Blank),(Blank),"24,000"
Kiribati,AstraZeneca - Vaxzevria,Jul 2021,(Blank),(Blank),"24,000",(Blank),(Blank),"24,000"
Kiribati,AstraZeneca - Vaxzevria,Aug 2021,(Blank),"13,000","56,000",(Blank),(Blank),"69,000"
Kiribati,Pfizer BioNTech - Comirnaty,Jun 2022,(Blank),(Blank),"23,400",(Blank),(Blank),"23,400"
Kiribati,Pfizer BioNTech - Comirnaty,Jul 2022,(Blank),(Blank),"19,890",(Blank),(Blank),"19,890"
Kiribati,Pfizer BioNTech - Comirnaty,Sep 2022,(Blank),(Blank),"42,210",(Blank),(Blank),"42,210"
Kiribati,Sinopharm (Beijing) - BBIBP-CorV,Sep 2021,(Blank),"90,000",(Blank),(Blank),(Blank),"90,000"
Malaysia,AstraZeneca - Vaxzevria,Feb 2021,1,(Blank),(Blank),(Blank),(Blank),1
Malaysia,AstraZeneca - Vaxzevria,Mar 2021,1,(Blank),(Blank),(Blank),(Blank),1
Malaysia,AstraZeneca - Vaxzevria,Apr 2021,1,(Blank),"268,800",(Blank),(Blank),"268,801"
Malaysia,AstraZeneca - Vaxzevria,May 2021,"255,155",(Blank),"559,200",(Blank),(Blank),"814,355"
Malaysia,AstraZeneca - Vaxzevria,Jun 2021,"671,689",(Blank),(Blank),(Blank),(Blank),"671,689"
Malaysia,AstraZeneca - Vaxzevria,Jul 2021,"877,736","1,000,000",(Blank),(Blank),(Blank),"1,877,736"
Malaysia,AstraZeneca - Vaxzevria,Aug 2021,"1,239,941","415,000",(Blank),(Blank),(Blank),"1,654,941"
Malaysia,AstraZeneca - Vaxzevria,Sep 2021,"781,842",(Blank),"559,200",(Blank),(Blank),"1,341,042"
Malaysia,AstraZeneca - Vaxzevria,Oct 2021,"614,448",(Blank),(Blank),(Blank),(Blank),"614,448"
Malaysia,AstraZeneca - Vaxzevria,Nov 2021,"35,565",(Blank),(Blank),(Blank),(Blank),"35,565"
Malaysia,AstraZeneca - Vaxzevria,Dec 2021,"111,795",(Blank),(Blank),(Blank),(Blank),"111,795"
Malaysia,AstraZeneca - Vaxzevria,Jan 2022,"1,316,940",(Blank),(Blank),(Blank),(Blank),"1,316,940"
Malaysia,AstraZeneca - Vaxzevria,Feb 2022,"267,859",(Blank),(Blank),(Blank),(Blank),"267,859"
Malaysia,AstraZeneca - Vaxzevria,Mar 2022,"71,299",(Blank),(Blank),(Blank),(Blank),"71,299"
Malaysia,AstraZeneca - Vaxzevria,Apr 2022,"15,976",(Blank),(Blank),(Blank),(Blank),"15,976"
Malaysia,AstraZeneca - Vaxzevria,May 2022,"3,990",(Blank),(Blank),(Blank),(Blank),"3,990"
Malaysia,AstraZeneca - Vaxzevria,Jun 2022,904,(Blank),(Blank),(Blank),(Blank),904
Malaysia,AstraZeneca - Vaxzevria,Jul 2022,"1,119",(Blank),(Blank),(Blank),(Blank),"1,119"
Malaysia,AstraZeneca - Vaxzevria,Aug 2022,10,(Blank),(Blank),(Blank),(Blank),10
Malaysia,AstraZeneca - Vaxzevria,Sep 2022,2,(Blank),(Blank),(Blank),(Blank),2
Malaysia,AstraZeneca - Vaxzevria,Oct 2022,3,(Blank),(Blank),(Blank),(Blank),3
Malaysia,Pfizer BioNTech - Comirnaty,Feb 2021,"20,599",(Blank),(Blank),(Blank),(Blank),"20,599"
